TRIFID,CAS NUMBER,PROD RATIO/ACTIVITY INDEX,SR ACTIVITY 1,SR ACTIVITY 2,SR ACTIVITY 3,SR ACTIVITY 4,REPORTING YEAR
71764BRRYPBERRY,110543,0.0,,,,,1988
61204WRCTN404TE,7440020,1.25,,,,,1988
30643NVFCM300FI,7440020,1.05,,,,,1988
45042MMPCK1701R,108883,1.07,,,,,1988
30501STRKG1024A,7440473,0.61,,,,,1988
67401PWRVC500GR,7664393,1.2,,,,,1988
43351MLLSC11500,108883,1.0,,,,,1988
53207MLWKF1532E,N090,1.3,,,,,1988
71764BRRYPBERRY,71432,0.0,,,,,1988
76310CRTNT4515A,67561,1.11,,,,,1988
30529RPRPM3475O,7440508,1.0,,,,,1988
44111SZTLD3180B,7440020,0.88,,,,,1988
28352TNCRPHWY40,N982,1.11,,,,,1988
30529RPRPM3475O,7439965,1.0,,,,,1988
46032LLYRN177WC,7440508,1.05,,,,,1988
31732GRTSTHIGHW,50000,1.02,,,,,1988
06795HYLPR669ST,7440508,1.97,,,,,1988
41240MRCNSROUTE,7440508,1.34,,,,,1988
27260THMSB1408C,7664382,1.01,,,,,1988
60101FNSTL21NCH,N100,1.2,,,,,1988
54143MRNTTELYST,1330207,0.7,,,,,1988
44280WBBST675LI,7439965,0.92,,,,,1988
30529RPRPM3475O,7440484,1.0,,,,,1988
53207MLWKF1532E,N495,1.3,,,,,1988
54552FLMBP200NO,75070,1.0,,,,,1988
92663HXSNM829PR,127184,1.02,,,,,1988
38242TCMSH2700W,7440508,1.12,,,,,1988
46902KKMTR2401S,7439921,0.95,,,,,1988
53207MLWKF1532E,N450,1.3,,,,,1988
45885STMRY40540,7439965,1.37,,,,,1988
67480SLMNC103WM,108883,1.41,,,,,1988
30643NVFCM300FI,7440473,1.05,,,,,1988
36027CRBCR36ARC,7664417,1.52,,,,,1988
30643NVFCM300FI,7440508,1.05,,,,,1988
30529RPRPM3475O,7440473,1.0,,,,,1988
54143MRNTTELYST,71556,0.7,,,,,1988
43692GNRLM1455W,111422,1.1,,,,,1988
20705CHRKS7100M,7439965,0.0,,,,,1988
71753THYLCROUTE,80057,1.14,,,,,1988
44077QNTMC303HI,67561,1.12,,,,,1988
27260THMSB1408C,107211,1.01,,,,,1988
98225GRGPC300WL,7647010,1.03,,,,,1988
17603DWCRP2919O,7439965,10.3,,,,,1988
44111SZTLD3180B,7440473,0.88,,,,,1988
44280WBBST675LI,7440473,0.92,,,,,1988
27260THMSB1408C,N040,1.01,,,,,1988
54143MRNTTELYST,67641,0.7,,,,,1988
45246CRNSH4933P,7440020,1.0,,,,,1988
71764BRRYPBERRY,110827,0.0,,,,,1988
16142DRYFRRR1BO,7664382,1.0,,,,,1988
18960SCHLMCARIL,7440508,1.03,,,,,1988
90744NTDST300FA,1310732,1.12,,,,,1988
71764BRRYPBERRY,1330207,0.0,,,,,1988
31732GRTSTHIGHW,1319773,1.02,,,,,1988
30501STRKG1024A,7439965,0.61,,,,,1988
90744NTDST300FA,7664939,1.12,,,,,1988
30501STRKG1024A,7440508,0.61,,,,,1988
30529RPRPM3475O,7440020,1.0,,,,,1988
27260THMSB1408C,7439965,1.01,,,,,1988
45246CRNSH4933P,7440473,1.0,,,,,1988
44111SZTLD3180B,7439965,0.88,,,,,1988
53209KLLYD6720N,7440020,1.26,,,,,1988
60101FNSTL21NCH,N495,1.2,,,,,1988
31732GRTSTHIGHW,67561,1.02,,,,,1988
71764BRRYPBERRY,108883,0.0,,,,,1988
71764BRRYPBERRY,95636,0.0,,,,,1988
48060TNDCS24071,7697372,1.43,,,,,1988
90744NTDST300FA,N982,1.12,,,,,1988
30501STRKG1024A,7440020,0.61,,,,,1988
60101FNSTL21NCH,N090,1.2,,,,,1988
77536SLTXP1230B,N982,0.0,,,,,1988
53209KLLYD6720N,N230,1.26,,,,,1988
27260THMSB1408C,7440020,1.01,,,,,1988
54235BYSHP605N3,71363,0.66,,,,,1988
16142DRYFRRR1BO,7697372,1.0,,,,,1988
54301PCKRL1330L,7664382,1.0,,,,,1988
53209KLLYD6720N,7439965,1.26,,,,,1988
77009STHWS1312H,N982,1.06,,,,,1988
54235BYSHP605N3,1330207,0.66,,,,,1988
54301PCKRL1330L,7664417,1.0,,,,,1988
77009STHWS1312H,N078,1.06,,,,,1988
31732GRTSTHIGHW,78933,1.02,,,,,1988
